id,text,label,control,trap
ID195700600-269,"Wie es in Europa aussehen könnte, wenn die nächste große Krise offen ausbricht, das möchte ich mir lieber nicht ausmalen. Für diese Zerstörung des europäischen Zusammenhalts tragen Sie, Frau Merkel, eine ganz erhebliche Mitverantwortung.",Europas Zukunft und Solidarität,NA,NA
ID1915510300-400,"Das wäre wirklich mal neu, vor allem für die Grünen.",Bündnis 90/Die Grünen Anträge,NA,NA
ID2011117100-748,"Dafür wollen Sie nun auch die Tourismuswirtschaft auf Rügen opfern und vor der schönsten Insel Deutschlands ein LNG-Terminal errichten. Glücklicherweise formiert sich in dieser Urlaubsidylle massiver Widerstand gegen dieses aberwitzige Vorhaben, angeführt von sehr engagierten Bürgern und Unternehmern. Sie haben einen Bürgerentscheid initiiert, der sicherlich ein eindeutiges Ergebnis bringen wird: Die Rügener werden den Bau des LNG-Terminals ablehnen.",LNG-Terminals und Energieversorgung,NA,NA
ID192301800-761,"Herr Minister Scholz, wenn Sie sich an dieses Rednerpult stellen und sagen: „Na ja, geben wir jetzt einmal etwas mehr; vielleicht wird es am Ende nicht so viel“, dann sage ich Ihnen ganz ehrlich: Deutschlands größtes Problem ist Ihre grenzenlose Naivität.",Olaf Scholz' Kanzlerschaft und Führung,NA,NA
ID194605500-228,"Mit unter 2,3 Millionen Menschen liegt die Arbeitslosenzahl auf einem Rekordtief – so niedrig wie noch nie seit der Wiedervereinigung. Gegenüber 2005 hat sich die Zahl der Arbeitslosen mehr als halbiert. An diese Erfolgszahlen wollen wir natürlich anknüpfen. Wir haben uns in dieser Koalition ein ambitioniertes Ziel in der Arbeitsmarktpolitik gesetzt. Wir haben uns auf das Ziel Vollbeschäftigung verständigt; denn Arbeit ist für den Menschen zentral. Ja, es geht um Broterwerb, aber es geht auch noch um mehr: Es geht um Würde, es geht um Ansehen, und es geht um ein erfülltes Leben. Arbeit ist aber auch für die Leistungsfähigkeit einer Volkswirtschaft zentral. Beides gehört zusammen, wenn wir von einem starken Sozialstaat reden.",Hartz IV und Existenzsicherung,NA,NA
ID2016100300-640,"Nun hat unlängst ein Urteil des Bundesgerichtshofes zu Rechtsunsicherheit bei der Auslegung dieses Gesetzes geführt. Was nach stehender Rechtsprechung des BAG als rechtmäßig galt, wurde vom Bundesgerichtshof unter Untreueverdacht gestellt und strafrechtlich bedroht. In der Folge dieses Urteils und der damit eingetretenen Rechtsunsicherheit haben mehrere Unternehmen vorsorglich die Vergütung von Betriebsratsmitgliedern und die Betriebsrenten ehemaliger Betriebsräte gekürzt und infrage gestellt. Dieses Vorgehen ist wiederum beklagt worden, und tatsächlich haben die Kläger zwischenzeitlich in mehreren Verfahren Recht bekommen.",Betriebliche Mitbestimmung und Betriebsräte,NA,NA
ID198701700-189,"Die Sparguthaben werden immer weniger wert. Gleichzeitig druckt die EZB eine halbe Billion Euro pro Jahr und pumpt sie in die Märkte. Dadurch wird natürlich alles teurer und immer unfinanzierbarer für den normalen Bürger. Aber das sagen Sie denen ja nicht. Dem Bürger in der Europäischen Union wird ein Porsche versprochen, und er bekommt eine Ente.",Europäische Finanzpolitik und Bankenregulierung,NA,NA
ID1918706600-676,"Inzwischen wissen wir, dass die Umsatzsteuersenkung nicht hilfreich gewesen ist; das ist einigermaßen gesichert und wissenschaftlich anerkannt. Es ging nur darum, gute Stimmung beim Wahlvolk zu erzeugen. Deshalb hat man sich die Mehrwertsteuer ausgesucht, meine sehr verehrten Damen und Herren. Das ist Stimmenkauf, und Stimmenkauf mit Staatsknete ist eine der unangenehmsten Formen von Populismus. Nur so viel zu den Populismussachverständigen in Ihren Reihen.",Umsatzsteuersenkung für Gastronomie,NA,NA
ID205705100-420,"Das zeigen übrigens auch – das ist eben dankenswerterweise gesagt worden – Ihre eigenen Landesinnenminister. Die Hälfte aller Landesinnenminister sind SPD-Innenminister, und auch die sind der Auffassung IP‑Adressdatenspeicherung ist nicht nur möglich, sondern auch richtig. Das Gleiche sagt in einem bemerkenswerten Interview Ihr SPD-Fraktionskollege Herr Fiedler; er gehört dem Rechtsausschuss an. Eigentlich komisch, dass er heute in der Debatte nicht sprechen darf.",IP-Adressen-Speicherung und Strafverfolgung,NA,NA
ID198902700-561,"Das wollen wir von der CDU/CSU zügig und korrekt umsetzen, meine Damen und Herren. Gut ein Jahr nach dem Karlsruher Urteil liegt noch immer kein abgestimmter Gesetzentwurf vor. Wir müssen aber bis zum Jahresende ein neues Gesetz verabschiedet haben. Es geht jetzt darum: Bleibt es bei einer Objektsteuer nach einer einfachen Flächenbemessung, oder gibt es eine neue, bürokratische und teure Mietersteuer nach Mieten, Bodenrichtwert und Baujahren? Diesen Weg halten wir für falsch, für einen Irrweg. Das wollen wir nicht.",Grundsteuer und Grunderwerbsteuer-Reform,NA,NA
